Tenure,Salary,Department,JobSatisfaction,WorkLifeBalance,CommuteDistance,MaritalStatus,Education,PerformanceRating,TrainingHours,OverTime,NumProjects,YearsSincePromotion,ChurnLikelihood
9,57000,FM,3,4,Medium,Married,High School,3.667,30,1,3,2,Highly Likely
5,68000,RD,3,3.5,Long,Married,Bachelor,3.333,30,1,2,0,Highly Likely
5,64500,CS,2,3.5,Medium,Single,Bachelor,3,24,1,2,0,Highly Likely
7,66000,IT,2,4.5,Long,Married,Master,3.667,30,1,3,1,Highly Likely
5,80000,HR,4,3,Medium,Single,High School,3.333,80,1,3,0,Highly Likely
3,60500,HR,3,4,Short,Single,Master,3,12,1,2,0,Highly Likely
7,59500,ACC,3,3.5,Long,Single,High School,3,88,1,3,0,Highly Likely
15,70000,CS,4,4.5,Short,Married,Bachelor,3,24,0,3,9,Highly Likely
6,68500,SL,4,3,Short,Single,Bachelor,3,30,1,2,0,Highly Likely
13,73500,ACC,5,3.5,Medium,Single,Bachelor,3.667,24,1,2,2,Highly Likely
11,65500,FM,5,4,Short,Married,High School,3.333,64,1,3.62,1,Highly Likely
9,66500,FM,3,4,Medium,Married,High School,3.333,32,1,2,2,Highly Likely
5,67500,MKT,4,3.5,Long,Married,Bachelor,3,30,1,3,0,Highly Likely
4,58000,PRO,3,3,Long,Single,Bachelor,2.667,18,1,3,0,Highly Likely
10,71500,PRO,2,3.5,Medium,Married,Bachelor,3.363,30,1,3,3,Highly Likely
6,50000,CS,4,3,Short,Single,High School,2.667,56,1,2,0,Highly Likely
4,59500,OPR,4,4,Short,Married,Bachelor,3.333,24,1,2,0,Highly Likely
9,71000,OPR,3,4.5,Short,Married,Bachelor,3,18,1,2,1,Highly Likely
8,72500,RD,2,3.5,Short,Married,Bachelor,3.333,24,1,3,2,Highly Likely
2,69500,MKT,2,4,Medium,Married,Master,3.333,12,1,3,0,Highly Likely
10,62500,CS,3,4,Long,Single,High School,3.333,30,1,2,0,Highly Likely
13,76000,ACC,3,4,Short,Divorced,Master,3.333,30,1,2,2,Highly Likely
5,68500,RD,3,4,Long,Married,Bachelor,3.333,18,1,3,0,Highly Likely
6,70000,SL,5,4,Long,Married,Bachelor,3.667,12,1,3,0,Highly Likely
1,69000,Legal,3,3.5,Long,Married,Bachelor,3.333,24,1,2,0,Highly Likely
9,81500,SL,1,3,Medium,Divorced,Master,3,24,0,2,0,Highly Likely
15,77500,IT,3,4,Long,Married,Bachelor,3.333,18,1,2,2,Highly Likely
22,72000,PM,4,4.5,Long,Married,Bachelor,3.667,30,1,3,8,Highly Likely
14,84000,PR,5,4.5,Medium,Married,Bachelor,3.667,24,1,3,6,Highly Likely
11,73000,FM,3,3.5,Medium,Married,Master,3.667,24,1,2,1,Highly Likely
7,59500,MKT,2,3.5,Long,Divorced,Bachelor,3.333,30,1,2,0,Highly Likely
4,62000,SL,5,4,Medium,Married,High School,3,32,0,3,0,Highly Likely
11,51500,CS,3,3.5,Long,Married,High School,3.333,96,1,3,1,Highly Likely
3,70500,SL,1,3.5,Long,Single,Bachelor,3.333,12,1,2,0,Highly Likely
1,74500,SL,3,3.5,Long,Single,Bachelor,3.333,36,1,2,0,Highly Likely
9,66000,ADM,2,4,Short,Single,Bachelor,3.333,6,1,2,2,Highly Likely
10,54500,FM,4,5,Short,Married,High School,3.265,71.72,1,2.13,4,Highly Likely
21,84500,SL,2,3.493,Short,Single,Bachelor,3.438,17.41,1,1.96,5,Highly Likely
6,69500,HR,3,5,Short,Married,Bachelor,3.639,18.4,1,1.57,0,Highly Likely
2,61000,HR,2,4.074,Medium,Single,Bachelor,4.406,30,1,2.32,0,Highly Likely
10,71000,ADM,3,3.819,Medium,Single,Bachelor,1.64,35.49,1,3.4,4,Highly Likely
8,72000,SL,4,3.963,Long,Married,Bachelor,3.599,36.25,1,4.49,1,Highly Likely
3,49000,FM,3,5,Medium,Married,High School,4.117,23.37,1,2.76,0,Highly Likely
18,77500,PM,2,4.2,Short,Divorced,Bachelor,4.114,30.94,1,3.62,5,Highly Likely
5,78500,MKT,2,3.927,Short,Married,Bachelor,2.767,11.12,1,2.89,0,Highly Likely
6,73000,SL,3,2.5,Medium,Single,Bachelor,3.064,30.43,1,3.03,0,Highly Likely
7,64500,OPR,5,4.549,Medium,Married,Master,4.602,18.1,1,2.12,0,Highly Likely
4,67500,IT,5,2.734,Long,Single,Bachelor,2.766,23.94,1,3.81,0,Highly Likely
10,66500,MKT,3,4.231,Long,Single,Bachelor,3.89,11.75,1,2.53,2,Highly Likely
7,61000,IT,3,2.703,Medium,Married,High School,3.242,31.89,1,3.09,0,Highly Likely
9,72500,ACC,5,4.572,Medium,Married,Bachelor,4.441,29.4,1,2.99,1,Highly Likely
6,83500,PM,4,4.401,Medium,Married,High School,3.096,32.22,1,2.17,0,Highly Likely
10,73500,RD,5,3.659,Long,Single,Bachelor,3.46,5.55,1,2.55,3,Less Likely
5,64000,QA,5,4.496,Short,Married,Bachelor,3.423,23.96,1,4.24,0,Highly Likely
12,62000,ACC,4,4.491,Medium,Single,Bachelor,3.126,30,1,3.3,3,Highly Likely
1,65000,MKT,4,3.791,Long,Divorced,Bachelor,3.818,35.96,1,2.02,0,Highly Likely
10,67500,RD,5,4.072,Medium,Divorced,High School,3.906,79.68,1,4.32,2,Highly Likely
3,62500,ACC,2,3.519,Long,Divorced,Master,3.386,30,1,4.39,0,Highly Likely
4,58000,PM,3,4.278,Long,Married,Bachelor,3.989,11.65,1,3.92,0,Highly Likely
7,57000,CS,4,2.314,Medium,Single,High School,3.237,48.82,1,2.97,1,Highly Likely
13,72000,MKT,4,3.347,Long,Married,Bachelor,3.511,16.98,1,3.29,0,Highly Likely
4,63000,Legal,3,3,Long,Married,High School,3,88,1,3,0,Highly Likely
4,61500,CS,4,3.5,Long,Married,High School,3.667,72,1,3,0,Highly Likely
10,61000,SL,2,3,Short,Married,High School,3.333,88,1,3,4,Highly Likely
8,54000,MKT,4,3.5,Medium,Divorced,High School,3.333,80,1,3.62,1,Highly Likely
6,68000,SL,5,4,Short,Married,High School,3.333,64,1,3,0,Highly Likely
13,71500,PR,4,4,Long,Divorced,Bachelor,3,36,1,4,7,Highly Likely
11,62000,ACC,4,3.5,Short,Married,High School,3,40,0,4,4,Highly Likely
6,66000,IT,3,3.5,Short,Single,Bachelor,3,24,1,3,0,Highly Likely
8,62000,CS,5,4,Short,Married,Bachelor,3.667,24,1,3,0,Highly Likely
16,67500,RD,4,4,Medium,Married,High School,3.667,56,1,3,8,Highly Likely
8,74000,OPR,2,4,Medium,Married,Bachelor,3.667,30,1,3,2,Highly Likely
7,55000,RD,4,4.5,Short,Divorced,Bachelor,4,24,1,3,1,Highly Likely
4,58000,PRO,3,4,Long,Married,Bachelor,3.667,18,1,3,0,Highly Likely
4,65000,Legal,2,3,Medium,Married,Master,3.667,30,0,3,0,Highly Likely
10,74000,ACC,5,4,Short,Divorced,High School,3.667,48,1,3,2,Highly Likely
17,70000,RD,2,3,Short,Divorced,Bachelor,3.667,6,0,3,0,Highly Likely
3,63000,SL,5,4.5,Short,Single,Bachelor,4.333,36,1,4,0,Highly Likely
2,53500,ADM,4,4.5,Medium,Single,High School,4,88,1,3,0,Highly Likely
12,73000,CS,4,3.5,Long,Single,Bachelor,3,30,1,3.62,0,Highly Likely
12,71000,OPR,3,3,Long,Single,Bachelor,3,30,1,4,3,Highly Likely
3,72500,MKT,2,3.5,Short,Married,Master,3,30,1,3,0,Highly Likely
11,69000,PM,5,4,Medium,Single,Bachelor,3.667,30,1,3,3,Highly Likely
3,49500,CS,4,4,Long,Married,High School,3.667,80,1,3,0,Highly Likely
14,61500,PRO,3,4.5,Long,Married,Bachelor,3.667,12,0,3,3,Highly Likely
7,76500,RD,4,3.5,Medium,Single,Master,3.333,36,1,3,1,Highly Likely
7,60000,RD,5,3,Short,Married,High School,3.333,40,1,3.62,0,Highly Likely
2,52000,QA,1,3.5,Long,Single,High School,3.333,40,1,3,0,Highly Likely
4,62000,ACC,3,3,Medium,Single,Bachelor,3.333,30,1,3,0,Highly Likely
10,66500,RD,5,3.5,Medium,Single,Bachelor,3,30,1,4,0,Highly Likely
6,62500,OPR,4,4,Short,Married,Bachelor,3,30,1,3,0,Highly Likely
7,68000,IT,2,3.5,Medium,Divorced,Bachelor,3.333,24,1,3,0,Highly Likely
10,68000,FM,3,3.5,Medium,Divorced,Master,3,18,1,3,3,Highly Likely
5,62500,RD,3,3.5,Medium,Married,Bachelor,3.333,12,1,4,0,Highly Likely
11,80500,RD,3,4,Long,Married,High School,3,80,1,4,4,Highly Likely
12,74000,FM,4,3.5,Medium,Divorced,Bachelor,3.333,12,1,3.62,1,Highly Likely
9,63500,SL,3,4,Long,Single,Bachelor,3.667,24,1,3,3,Highly Likely
9,63500,QA,5,4,Medium,Single,Bachelor,4,30,1,4,3,Highly Likely
7,67000,SL,4,3.5,Medium,Divorced,Master,3.333,24,1,3,0,Highly Likely
18,83500,SL,4,3,Short,Married,High School,3.667,40,1,3,11,Highly Likely
8,68500,CS,2,4,Short,Divorced,High School,3.667,80,1,2,1,Highly Likely
13,61500,CS,5,4,Short,Single,High School,3.667,32,1,4,0,Highly Likely
16,80500,SL,2,3,Medium,Married,Bachelor,3,30,1,3,3,Highly Likely
5,66000,RD,5,4.5,Long,Divorced,Bachelor,3.667,18,1,2,0,Highly Likely
7,73000,PM,2,3,Short,Married,Bachelor,3,30,1,4,0,Highly Likely
12,74000,ACC,2,4,Medium,Married,Bachelor,3.333,18,1,3,5,Highly Likely
3,65000,PM,4,4,Long,Married,Bachelor,3.667,30,1,3,0,Highly Likely
14,74000,ACC,1,3.5,Medium,Married,Bachelor,3.333,30,1,4,1,Highly Likely
5,64500,OPR,5,3.5,Short,Married,Bachelor,3,30,1,3,0,Highly Likely
8,69500,SL,3,4.5,Short,Married,Bachelor,4,30,1,3,0,Highly Likely
11,72500,ACC,4,4,Medium,Single,Bachelor,3.333,24,1,3,4,Highly Likely
3,60500,HR,5,4,Short,Divorced,High School,3.333,88,0,4,0,Highly Likely
13,86000,PRO,3,4,Short,Single,High School,3.667,80,1,3,4,Highly Likely
4,62000,CS,3,3,Medium,Married,Bachelor,3.363,30,1,3,0,Highly Likely
8,66000,MKT,4,3.5,Short,Married,Bachelor,3.667,18,1,4,2,Highly Likely
7,66000,PM,3,4,Long,Married,Bachelor,3.333,18,1,3,1,Highly Likely
8,67000,PR,4,3.5,Medium,Married,High School,3.333,72,0,3,1,Highly Likely
9,79000,SL,2,3.5,Medium,Single,Bachelor,3.333,36,1,4,2,Highly Likely
3,54000,CS,4,3,Medium,Single,High School,3.333,48,1,4,0,Highly Likely
8,72500,Legal,4,3.5,Long,Married,Bachelor,3.333,30,1,3,2,Highly Likely
2,57000,HR,3,4,Short,Married,Bachelor,4,18,1,2,0,Highly Likely
1,67000,MKT,4,4,Long,Divorced,Bachelor,3,18,1,2,0,Highly Likely
10,82000,SL,2,3.5,Medium,Married,High School,3.333,80,1,3,3,Highly Likely
24,79500,RD,2,3.5,Medium,Married,High School,3.667,80,1,3,11,Highly Likely
6,77000,SL,3,3.5,Medium,Single,Bachelor,2.667,30,1,3,0,Highly Likely
20,86500,PM,3,3.5,Medium,Divorced,Bachelor,4,12,1,4,9,Highly Likely
7,67000,MKT,2,3.5,Short,Married,Bachelor,3.667,12,1,3,0,Highly Likely
23,98000,ACC,3,3.5,Medium,Married,Master,3.333,24,1,3,8,Highly Likely
9,53500,OPR,5,4.5,Long,Married,High School,3.667,64,1,3,1,Highly Likely
12,65500,RD,4,4,Short,Divorced,Bachelor,3.333,6,1,3,0,Highly Likely
7,64500,HR,3,4,Long,Married,High School,3,40,1,3,1,Highly Likely
8,59000,CS,4,4.5,Medium,Married,High School,3.333,88,1,3,1,Highly Likely
5,60500,HR,4,4,Medium,Single,Bachelor,3,36,0,3,0,Highly Likely
8,76500,ACC,3,4,Short,Divorced,Master,4,12,1,3,2,Highly Likely
6,74000,SL,3,4,Medium,Married,Bachelor,3.667,24,1,4,0,Highly Likely
10,81500,Legal,3,3,Long,Single,Bachelor,3,30,1,4,4,Highly Likely
8,69000,ADM,2,4,Short,Single,Bachelor,3.333,30,1,3,0,Highly Likely
6,62000,PRO,3,3.5,Short,Married,Bachelor,3,12,1,4,0,Highly Likely
5,66000,ACC,4,4,Short,Single,Master,3,30,1,4,0,Highly Likely
14,74000,MKT,3,4,Medium,Single,High School,3,80,1,3,6,Highly Likely
6,58500,Legal,4,5,Medium,Married,High School,4,88,1,3,0,Highly Likely
3,60000,CS,4,4,Short,Single,Bachelor,3.333,30,1,4,0,Highly Likely
14,73500,IT,2,3,Short,Single,Bachelor,3,36,1,3,2,Highly Likely
9,62000,CS,5,5,Medium,Married,Bachelor,3.667,30,1,3,3,Highly Likely
6,64000,PR,2,4.5,Long,Divorced,Bachelor,3.667,36,1,3,0,Highly Likely
9,61500,CS,5,4,Long,Married,High School,3.667,80,1,5,2,Highly Likely
8,65500,QA,2,3.5,Short,Married,Bachelor,3.333,24,1,4,1,Highly Likely
7,58000,CS,2,3.5,Short,Divorced,Bachelor,3.667,12,0,3,0,Highly Likely
8,70000,IT,1,3,Medium,Single,Bachelor,3.333,36,1,3,2,Highly Likely
5,62500,SL,3,5,Short,Married,High School,3.667,56,1,3,0,Highly Likely
5,61500,ACC,5,4,Medium,Married,High School,3.667,30,1,3,0,Highly Likely
6,59000,PRO,5,3.5,Long,Married,Bachelor,3.333,24,1,3,0,Highly Likely
7,59500,Legal,5,4,Medium,Married,High School,3.333,64,1,3,1,Highly Likely
1,62500,SL,2,3.5,Medium,Married,Bachelor,3.333,24,1,3,0,Highly Likely
9,55500,ACC,3,3,Medium,Married,High School,3,64,1,3,1,Highly Likely
3,63500,RD,3,4,Long,Married,High School,3,32,1,3,0,Highly Likely
8,55000,MKT,4,3.5,Short,Married,High School,4,64,1,4,1,Highly Likely
6,74500,Legal,4,4,Short,Married,Bachelor,3.333,24,1,4,0,Highly Likely
4,67500,PM,3,3.5,Short,Single,High School,3,64,1,3,0,Highly Likely
12,75000,QA,3,4,Long,Divorced,Bachelor,3.667,12,1,3,3,Highly Likely
6,76000,ACC,5,4,Short,Married,Bachelor,3.333,6,1,4,0,Highly Likely
3,69500,ACC,3,3.5,Short,Divorced,High School,3,80,1,3,0,Highly Likely
5,56500,HR,4,4,Medium,Married,Bachelor,4,36,1,4,0,Highly Likely
14,71500,FM,4,3.5,Short,Single,Bachelor,3,18,1,3,5,Highly Likely
7,66000,RD,4,3.5,Short,Single,Master,3.667,12,1,4,0,Highly Likely
2,69000,ACC,4,3.5,Short,Divorced,Master,3.667,18,0,3,0,Highly Likely
10,59500,PRO,3,4,Long,Married,Bachelor,3.667,24,0,3,3,Highly Likely
9,67000,ACC,5,3.5,Long,Single,Bachelor,3.667,36,0,4,0,Highly Likely
8,62000,PRO,5,4,Long,Married,High School,3.667,30,1,3.62,2,Highly Likely
5,72500,SL,4,3.5,Medium,Married,Master,2.667,30,1,3,0,Highly Likely
11,67000,RD,4,4,Short,Married,Bachelor,3.667,18,1,4,1,Highly Likely
8,80500,SL,4,3,Short,Married,Bachelor,3.667,6,1,4,2,Highly Likely
8,64500,Legal,3,3.5,Medium,Single,Bachelor,3.333,24,0,3.62,0,Highly Likely
6,53000,RD,5,4,Long,Married,High School,4,72,1,2,0,Highly Likely
8,70500,ACC,3,4,Medium,Single,High School,3,56,1,3,2,Highly Likely
10,69500,HR,3,4,Short,Married,Bachelor,3.667,30,1,3,1,Highly Likely
3,67500,ACC,4,4,Medium,Single,Bachelor,3,18,1,4,0,Highly Likely
1,59500,ADM,2,4,Medium,Married,High School,3.333,32,1,4,0,Highly Likely
2,59500,ACC,5,4,Long,Married,Bachelor,3.667,24,1,3,0,Highly Likely
3,55000,OPR,5,4,Short,Married,Bachelor,4.333,18,1,3,0,Highly Likely
3,62000,IT,5,4.5,Medium,Married,High School,3,56,1,3,0,Highly Likely
2,45000,FM,5,4.5,Short,Divorced,High School,4,72,1,4,0,Highly Likely
10,67000,RD,2,3.5,Short,Married,High School,3.333,80,1,3,0,Highly Likely
5,78000,Legal,3,4,Short,Single,Bachelor,3.333,6,1,3,0,Highly Likely
6,60000,HR,5,3.5,Medium,Single,High School,3.333,56,1,3,0,Highly Likely
13,68000,PR,3,4,Medium,Single,Bachelor,3.333,24,1,3,1,Highly Likely
7,74500,PM,2,4,Long,Married,Master,3.333,18,1,3,0,Highly Likely
10,56500,CS,4,4,Medium,Married,Bachelor,3.333,18,1,4,1,Highly Likely
14,75000,PR,2,3,Medium,Single,Bachelor,2.667,18,1,3,2,Highly Likely
15,87000,RD,1,2.5,Long,Single,Bachelor,2.667,24,0,2,0,Highly Likely
5,60000,CS,4,3.5,Long,Married,High School,3,40,1,3,0,Highly Likely
3,63000,RD,2,3.5,Medium,Married,High School,2.667,88,1,3.62,0,Highly Likely
8,80500,PR,4,3.5,Long,Single,Bachelor,3.333,30,1,3,0,Highly Likely
5,73500,Legal,4,3.5,Medium,Single,Bachelor,3.667,30,0,3,0,Highly Likely
9,79500,Legal,5,3.5,Medium,Married,Bachelor,3.667,6,1,3.62,3,Highly Likely
10,77500,PM,4,3.5,Long,Single,Master,3.667,18,1,3.62,0,Highly Likely
12,82000,HR,2,3,Medium,Single,Bachelor,3,30,1,3,0,Highly Likely
13,65500,ADM,3,3.5,Short,Married,High School,3,88,1,3,7,Highly Likely
5,85500,MKT,5,5,Medium,Married,Master,4.333,30,1,4,0,Highly Likely
10,73000,PRO,2,4,Short,Married,Bachelor,3.667,30,1,3,1,Highly Likely
13,67000,RD,4,4,Short,Married,High School,3.667,30,1,3,1,Highly Likely
14,73500,PRO,5,4,Long,Divorced,High School,3.333,56,1,3,6,Highly Likely
4,61000,RD,5,4,Medium,Married,Bachelor,3.667,30,1,3,0,Highly Likely
7,49500,QA,3,3.5,Long,Single,High School,3,72,1,3,1,Highly Likely
4,70500,MKT,3,3,Medium,Married,Bachelor,2.667,24,0,3,0,Highly Likely
16,68500,CS,4,4,Long,Married,Bachelor,3.667,30,1,4,6,Highly Likely
9,64000,CS,4,4,Short,Divorced,High School,3.667,72,1,4,1,Highly Likely
9,63500,RD,5,3.5,Short,Single,High School,2.667,80,1,3,2,Highly Likely
12,55500,IT,4,4.5,Medium,Divorced,Bachelor,3,18,1,2,6,Highly Likely
6,63500,MKT,3,4.5,Short,Married,High School,3.667,30,0,3,0,Highly Likely
7,79000,PM,2,4,Short,Married,Master,3.333,36,1,4,1,Highly Likely
9,70000,MKT,2,4,Long,Divorced,Bachelor,3.333,24,0,3,1,Highly Likely
3,57000,CS,4,3,Long,Divorced,High School,2.667,30,1,3,0,Highly Likely
13,70000,Legal,1,3.5,Long,Married,Bachelor,3,12,1,3,3,Highly Likely
8,66000,IT,4,4,Short,Married,Bachelor,4,6,1,4,2,Highly Likely
2,52000,CS,3,3,Long,Single,Bachelor,3,30,1,3,0,Highly Likely
20,82000,MKT,3,3.5,Medium,Married,Bachelor,3.333,18,1,4,7,Highly Likely
11,70000,MKT,3,3.5,Long,Married,Bachelor,3.667,30,1,3,0,Highly Likely
11,70500,HR,5,4,Medium,Married,Master,3,12,1,3,5,Highly Likely
4,65500,PR,4,4,Long,Married,Bachelor,3.667,6,1,3,0,Highly Likely
7,64500,ACC,4,3.5,Long,Married,High School,3,80,1,3,1,Highly Likely
6,68000,ACC,5,3.5,Medium,Divorced,Bachelor,3.333,24,0,3.62,0,Highly Likely
4,69500,HR,4,3.5,Short,Married,Bachelor,3.667,30,1,4,0,Highly Likely
14,61000,ACC,5,4.5,Short,Divorced,High School,3.333,72,1,3,2,Highly Likely
6,71000,SL,4,4,Short,Married,Bachelor,3.333,18,1,3,0,Highly Likely
5,61000,RD,3,3.5,Medium,Single,High School,3,88,1,4,0,Highly Likely
4,60500,SL,3,3.5,Long,Divorced,High School,3.667,56,1,3,0,Highly Likely
7,69000,IT,5,4.5,Medium,Single,Bachelor,3.333,30,1,4,0,Highly Likely
7,69500,Legal,5,4,Long,Single,Bachelor,3.667,18,1,4,0,Highly Likely
3,63500,HR,3,3.5,Long,Married,Bachelor,2.667,12,1,3,0,Highly Likely
8,74000,Legal,2,3,Medium,Married,Bachelor,3,24,1,3,2,Highly Likely
5,55000,PRO,5,4,Short,Married,High School,4,88,1,3,0,Highly Likely
10,72000,SL,2,3.5,Long,Married,High School,3.333,32,1,3,0,Highly Likely
8,73000,PM,5,3.5,Short,Divorced,Bachelor,4,12,1,4,1,Highly Likely
5,55000,MKT,2,3.5,Medium,Married,High School,3.667,30,1,3,0,Highly Likely
16,73500,ACC,3,3,Short,Divorced,Bachelor,3,36,1,2,9,Highly Likely
4,73000,CS,2,2.5,Medium,Single,Bachelor,2.333,24,1,3,0,Highly Likely
4,73000,SL,4,3.5,Medium,Married,High School,3,96,0,2,0,Highly Likely
6,66000,RD,3,3.5,Long,Single,Bachelor,3.333,12,1,3,0,Highly Likely
3,52000,ACC,2,3.5,Medium,Single,High School,3,64,1,3,0,Highly Likely
4,69000,MKT,4,4,Medium,Married,High School,3.667,96,1,4,0,Highly Likely
15,75000,MKT,1,3.5,Long,Single,Bachelor,3,30,1,3,5,Highly Likely
5,52500,QA,3,4,Long,Married,High School,3.667,48,0,4,0,Highly Likely
7,66000,PM,4,4,Long,Married,Bachelor,3.667,12,1,3,0,Highly Likely
17,77500,MKT,5,4,Medium,Married,Bachelor,3.333,30,1,3,2,Highly Likely
4,55500,OPR,3,4,Medium,Divorced,Bachelor,3,30,1,3,0,Highly Likely
6,66500,ADM,2,4,Short,Married,Master,4,30,1,2,0,Highly Likely
13,84000,ACC,1,3,Long,Divorced,High School,3.333,96,1,3,0,Highly Likely
9,69500,SL,3,4,Long,Divorced,Master,4,30,1,3.62,2,Highly Likely
12,74000,SL,5,4,Medium,Single,High School,3,40,1,3,3,Highly Likely
10,70000,SL,3,3.5,Medium,Married,Bachelor,3.667,6,1,4,0,Highly Likely
5,67500,OPR,3,3.5,Medium,Divorced,High School,3.333,30,1,4,0,Highly Likely
4,58500,HR,4,4,Short,Divorced,Bachelor,3.667,30,1,4,0,Highly Likely
6,80500,ACC,2,3.5,Medium,Single,Master,3,30,1,4,0,Highly Likely
13,73000,SL,2,3.5,Medium,Married,Bachelor,3.333,30,1,3,7,Highly Likely
9,66500,MKT,3,3.5,Long,Married,Bachelor,3.333,30,1,3,1,Highly Likely
4,66500,MKT,3,4,Long,Single,Bachelor,3.333,18,1,3,0,Highly Likely
6,67000,ADM,4,4,Long,Single,Bachelor,3.667,12,1,3,0,Highly Likely
11,80500,MKT,5,4,Medium,Divorced,High School,3.667,24,1,4,4,Highly Likely
12,72000,PR,3,4,Medium,Married,Bachelor,3.333,12,1,3,6,Highly Likely
7,72500,SL,3,4.5,Short,Married,Bachelor,3.667,12,1,3,0,Highly Likely
9,67500,ACC,2,4,Long,Married,Bachelor,3.667,30,1,3,2,Highly Likely
9,66500,OPR,4,4,Short,Married,Bachelor,3.333,24,1,3,1,Highly Likely
11,77000,Legal,4,4.5,Medium,Single,High School,3,96,1,3,4,Highly Likely
3,52500,PRO,1,3.5,Long,Single,High School,3,72,1,3,0,Highly Likely
7,70500,Legal,4,3,Short,Married,Master,3.667,18,1,4,1,Highly Likely
7,67000,Legal,5,4,Short,Single,Bachelor,3.667,6,1,4,1,Highly Likely
15,82500,CS,4,4,Medium,Married,Bachelor,3.667,24,1,3,3,Highly Likely
5,69500,RD,3,4,Medium,Married,Master,3.333,18,1,2,0,Highly Likely
13,66000,PRO,3,4,Medium,Divorced,Bachelor,3.333,30,0,3,2,Highly Likely
10,56500,OPR,3,4,Short,Married,Bachelor,3.667,24,1,3,4,Highly Likely
3,48500,CS,5,5,Long,Married,Bachelor,4,12,1,3,0,Highly Likely
14,53500,IT,3,3.5,Medium,Divorced,High School,3.667,40,1,4,6,Highly Likely
5,57000,MKT,5,4,Short,Married,Bachelor,3.333,30,1,3,0,Highly Likely
9,54500,IT,1,4,Long,Married,High School,3.333,80,0,4,3,Highly Likely
8,57500,SL,4,3.5,Long,Single,High School,3.333,56,1,3,1,Highly Likely
5,74000,SL,3,3.5,Long,Single,Bachelor,3.333,6,1,4,0,Highly Likely
4,66000,MKT,2,4.5,Medium,Divorced,Bachelor,3.667,6,1,3,0,Highly Likely
5,54000,ADM,1,2.5,Short,Married,Bachelor,3,30,1,4,0,Highly Likely
5,61000,QA,4,3,Short,Divorced,Bachelor,3,24,1,3,0,Highly Likely
5,73000,ACC,5,4,Medium,Married,Master,3.333,36,1,4,0,Highly Likely
5,66000,QA,4,3.5,Long,Married,Bachelor,3.667,12,1,4,0,Highly Likely
